Traffic Violation,Traffic Violation Count,Week
alcohol,0,51
alcohol,0,52
work_zone,0,1
work_zone,1,2
work_zone,0,3
work_zone,0,4
work_zone,0,5
work_zone,0,6
work_zone,0,7
work_zone,0,8
work_zone,0,9
work_zone,20,10
work_zone,4,11
work_zone,0,12
work_zone,2,13
work_zone,0,14
work_zone,8,15
work_zone,0,16
work_zone,0,17
work_zone,0,18
work_zone,0,19
work_zone,0,20
work_zone,0,21
work_zone,1,22
work_zone,2,23
work_zone,0,24
work_zone,0,25
work_zone,9,26
work_zone,0,27
work_zone,0,28
work_zone,0,29
work_zone,0,30
work_zone,0,31
work_zone,3,32
work_zone,0,33
work_zone,6,34
work_zone,1,35
work_zone,12,36
work_zone,0,37
work_zone,0,38
work_zone,0,39
work_zone,0,40
work_zone,0,41
work_zone,0,42
work_zone,0,43
work_zone,1,44
work_zone,0,45
work_zone,0,46
work_zone,0,47
work_zone,0,48
work_zone,0,49
work_zone,5,50
work_zone,4,51
work_zone,0,52
